t,u_x,u_y,u_z,f_x,f_y,f_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.07999999999999999,0.0,-0.0006031017784797905,0.011371646490330315,-2.129748708932979e-13
0.08,0.0,0.15999999999999998,0.0,-0.0010819315613564313,0.021582008070105345,-1.9861228547218834e-17
0.12,0.0,0.24,0.0,-0.0014730181838112331,0.03069425823539763,-8.365134756757597e-15
0.16,0.0,0.31999999999999995,0.0,-0.0017946706693600903,0.03886284911745693,-6.248172281213965e-13
0.2,0.0,0.3999999999999999,0.0,-0.002059037810639771,0.04624233836414466,6.493557861558807e-16
0.24,0.0,0.48,0.0,-0.0022756500249784457,0.05296497038562432,-3.967908900753825e-16
0.28,0.0,0.5599999999999999,0.0,-0.002452477157982667,0.05913856257164324,1.2698902259605793e-13
0.32,0.0,0.6399999999999999,0.0,-0.002596272785089767,0.0648497686364848,-6.797947621484113e-17
0.36,0.0,0.7199999999999999,0.0,-0.0027127316812686733,0.07016817323380242,-4.861586935973883e-14
0.4,0.0,0.7999999999999998,0.0,-0.0028066118742759833,0.07514992781024948,1.0405883240586361e-12
0.44,0.0,0.88,0.0,-0.0028818554400455963,0.07984067601140195,8.718611770042184e-16
0.48,0.0,0.96,0.0,-0.002941708551939788,0.08427782505239823,-1.0688065016362103e-15
0.52,0.0,1.04,0.0,-0.002988834560962995,0.0884922898234692,1.598081476178459e-14
0.56,0.0,1.1200000000000006,0.0,-0.0030254153127997037,0.09250983108692938,-8.909721376480773e-14
0.6,0.0,1.2,0.0,-0.0030532385008866245,0.09635208620671201,3.9120464680186817e-13
0.64,0.0,1.2799999999999998,0.0,-0.0030737709742734453,0.10003736776306785,1.8279648628105605e-16
0.68,0.0,1.3600000000000003,0.0,-0.0030882191683955216,0.10358128674953122,4.1869868574843927e-13
0.72,0.0,1.4399999999999997,0.0,-0.0030975782408481445,0.10699724219051279,-5.255695780925079e-13
0.76,0.0,1.5200000000000002,0.0,-0.0031026717650353775,0.11029680867522858,-6.163689350580093e-17
0.8,0.0,1.5999999999999996,0.0,-0.003104183866716417,0.11349004593929324,-2.625162999307651e-13
0.84,0.0,1.6800000000000004,0.0,-0.0031026847017071708,0.11658574641318528,2.1698105551887226e-13
0.88,0.0,1.76,0.0,-0.0030986512688626457,0.11959163643593518,-1.8499665774968088e-13
0.92,0.0,1.8400000000000003,0.0,-0.0030924839764670873,0.12251453943617996,1.435345440593816e-13
0.96,0.0,1.92,0.0,-0.0030845200988331377,0.12536050996249473,-1.1078773532249842e-13
1.0,0.0,2.0,0.0,-0.003075044628245516,0.12813494403049075,8.344567441545547e-14
